[Name]
Inlet to Outlet Chart Line at Inlet to Outlet Line

[Data]
Streamwise Location,Pressure ACA on Inlet to Outlet Line [ Pa ]
5.55477482e-06, 8.30734297e+04
1.05364220e-02, 8.30300625e+04
2.10774802e-02, 8.29790391e+04
3.15855369e-02, 8.29193203e+04
4.21036631e-02, 8.28595078e+04
5.26007675e-02, 8.27925000e+04
6.31085634e-02, 8.27210391e+04
7.36062974e-02, 8.26426406e+04
8.41159150e-02, 8.25544297e+04
9.46239904e-02, 8.24636875e+04
1.05144590e-01, 8.23600313e+04
1.15665220e-01, 8.22513359e+04
1.26198053e-01, 8.21228516e+04
1.36727706e-01, 8.19819375e+04
1.47267729e-01, 8.18129141e+04
1.57799408e-01, 8.16222813e+04
1.68338388e-01, 8.14051563e+04
1.78864330e-01, 8.11563906e+04
1.89391866e-01, 8.08907266e+04
1.99901074e-01, 8.05840781e+04
2.10404143e-01, 8.02519297e+04
2.20886797e-01, 7.98401484e+04
2.31352627e-01, 7.93310313e+04
2.41798922e-01, 7.86662578e+04
2.52218306e-01, 7.81219531e+04
2.62622625e-01, 7.76712188e+04
2.72990793e-01, 7.72606875e+04
2.83351034e-01, 7.63527813e+04
2.93661296e-01, 7.53903203e+04
3.03963274e-01, 7.63080781e+04
3.14224988e-01, 7.72198203e+04
3.24468642e-01, 7.79343359e+04
3.34681422e-01, 7.83976641e+04
3.44866216e-01, 7.85580234e+04
3.55030984e-01, 7.83673203e+04
3.65158588e-01, 7.79033750e+04
3.75275493e-01, 7.71723359e+04
3.85349900e-01, 7.62574375e+04
3.95410508e-01, 7.51935391e+04
4.05447721e-01, 7.40386875e+04
4.15462166e-01, 7.29021328e+04
4.25468832e-01, 7.20283594e+04
4.35442418e-01, 7.17923438e+04
4.45406258e-01, 7.26430313e+04
4.55356777e-01, 7.47643984e+04
4.65286613e-01, 7.80542656e+04
4.75214303e-01, 8.24978750e+04
4.85116720e-01, 8.80736953e+04
4.95012820e-01, 9.45472031e+04
5.04908204e-01, 1.01410711e+05
5.14784336e-01, 1.07541414e+05
5.24665415e-01, 1.12378953e+05
5.34524202e-01, 1.16183539e+05
5.44380009e-01, 1.19042273e+05
5.54245412e-01, 1.20821273e+05
5.64096749e-01, 1.21441016e+05
5.73947608e-01, 1.21219898e+05
5.83810985e-01, 1.20606031e+05
5.93663335e-01, 1.19812648e+05
6.03529036e-01, 1.19262602e+05
6.13387465e-01, 1.19042281e+05
6.23247623e-01, 1.18914352e+05
6.33119464e-01, 1.18806281e+05
6.42983258e-01, 1.18640227e+05
6.52850866e-01, 1.18458289e+05
6.62733793e-01, 1.18264766e+05
6.72620595e-01, 1.18108578e+05
6.82515740e-01, 1.17959430e+05
6.92430258e-01, 1.17834016e+05
7.02350140e-01, 1.17703531e+05
7.12278783e-01, 1.17568461e+05
7.22224236e-01, 1.17415633e+05
7.32175767e-01, 1.17215727e+05
7.42134988e-01, 1.16989469e+05
7.52105832e-01, 1.16704227e+05
7.62081504e-01, 1.16390227e+05
7.72062063e-01, 1.16016711e+05
7.82046437e-01, 1.15610461e+05
7.92034686e-01, 1.15156500e+05
8.02024305e-01, 1.14655359e+05
8.12010348e-01, 1.14111531e+05
8.21994662e-01, 1.13529297e+05
8.31976831e-01, 1.12924273e+05
8.41952384e-01, 1.12318266e+05
8.51928771e-01, 1.11715656e+05
8.61901700e-01, 1.11129641e+05
8.71864200e-01, 1.10545844e+05
8.81820500e-01, 1.09965602e+05
8.91768456e-01, 1.09370391e+05
9.01707768e-01, 1.08762867e+05
9.11621511e-01, 1.08124563e+05
9.21528041e-01, 1.07463727e+05
9.31414604e-01, 1.06778148e+05
9.41286027e-01, 1.06063672e+05
9.51135099e-01, 1.05334039e+05
9.60965633e-01, 1.04571281e+05
9.70764339e-01, 1.03795023e+05
9.80536401e-01, 1.02996508e+05
9.90279496e-01, 1.02179055e+05
9.99996603e-01, 1.01437406e+05


